"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2014",16867.621,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2015",17555.235,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CZE","EDUEXP","TRY","USD_STUDENT","A","2014",10490.257,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2015",10890.714,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.797,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16144.755,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","2014",8647.33,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2015",8761.462,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CHL","EDUEXP","TRY","USD_STUDENT","A","2014",7813.067,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2015",6677.146,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2016",8405.866,
"SAU","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"AUS","EDUEXP","TRY","USD_STUDENT","A","2014",19493.583,
"AUS","EDUEXP","TRY","USD_STUDENT","A","2015",20344.156,
"AUS","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"FIN","EDUEXP","TRY","USD_STUDENT","A","2014",17874.633,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2015",17591.236,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CHE","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"CHE","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"CHE","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","TRY","USD_STUDENT","A","2014",29328.235,
"USA","EDUEXP","TRY","USD_STUDENT","A","2015",30003.244,
"USA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"ARG","EDUEXP","TRY","USD_STUDENT","A","2014",5045.306,
"ARG","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
