"","variable","value"
"1","PV7SKPE",0.640277493598477
"2","PV6SKPE",0.638856831523914
"3","PV3SKPE",0.638746201887456
"4","PV5SKPE",0.638607512420325
"5","PV1SKPE",0.638554282154043
"6","PV10SKPE",0.636827289954148
"7","PV8SKPE",0.635197024742801
"8","PV4SKPE",0.635037543528643
"9","PV9SKPE",0.634691376384106
"10","PV2SKPE",0.634332694942352
"11","PV5SSLI",0.61897728526986
"12","PV8SSLI",0.618637485496107
"13","PV1SSLI",0.618584883662308
"14","PV3SCID",0.617565299485128
"15","PV4SCID",0.615679331887977
"16","PV4SSLI",0.615492827468933
"17","PV9SSLI",0.615349130915866
"18","PV3SCEP",0.615311817761987
"19","PV6SCEP",0.614536383456946
"20","PV2SSLI",0.614427398820125
"21","PV7SCID",0.614219518224953
"22","PV9SCEP",0.614081067222362
"23","PV5SCID",0.614031284244692
"24","PV10SSLI",0.613994001670382
"25","PV7SCEP",0.613805957935966
"26","PV1SCID",0.613761302045391
"27","PV1SCEP",0.613587603072385
"28","PV3SSLI",0.613563930848769
"29","PV4SCEP",0.612777842344507
"30","PV6SSLI",0.61260746088871
"31","PV10SCEP",0.612495393425214
"32","PV8SCEP",0.6121234272755
"33","PV7SSLI",0.611808288489078
"34","PV1SKCO",0.610788432470429
"35","PV6SCID",0.610778392077598
"36","PV5SCEP",0.61052420432355
"37","PV10SCID",0.610362305976072
"38","PV8SCID",0.61005338779145
"39","PV2SCEP",0.609982834925004
"40","PV2SCID",0.609764138698251
"41","PV4SKCO",0.608622458202973
"42","PV8SKCO",0.608168377292697
"43","PV3SKCO",0.608161048406709
"44","PV9SKCO",0.607782688464023
"45","PV9SCID",0.607577961400843
"46","PV2SKCO",0.606774086691103
"47","PV6SKCO",0.606432016747921
"48","PV5SKCO",0.60432553451245
"49","PV10SKCO",0.603480953614379
"50","PV7SKCO",0.60267741805218
"51","PV5SSPH",0.601184405448313
"52","PV1SSPH",0.60099202305265
"53","PV8SSPH",0.599123436703276
"54","PV10SSPH",0.597256185338358
"55","PV3SSPH",0.595985602762864
"56","PV9SSPH",0.595808245348337
"57","PV7SSPH",0.595072704252937
"58","PV4SSPH",0.594486803311652
"59","PV6SSPH",0.594167584821689
"60","PV2SSPH",0.593278131208911
"61","PV8SSES",0.591858278874614
"62","PV6SSES",0.588447165742493
"63","PV9SSES",0.588009662738885
"64","PV7SSES",0.58798482532782
"65","PV2SSES",0.587528487827774
"66","PV5SSES",0.587121228413303
"67","PV3SSES",0.586998841917587
"68","PV1SSES",0.586788840926855
"69","PV10SSES",0.58489883306875
"70","PV4SSES",0.584762637597143
"71","PV1SCED",0.57426462192985
"72","PV4SCED",0.572630097783744
"73","PV8SCED",0.571462366775902
"74","PV6SCED",0.57120941616003
"75","PV9SCED",0.57071878785939
"76","PV3SCED",0.570348862762772
"77","PV2SCED",0.569957139454874
"78","PV7SCED",0.569175105465682
