"","variable","value"
"1","PV7SKPE",0.514429875717687
"2","PV1SKPE",0.514061149482113
"3","PV10SKPE",0.512413415389092
"4","PV3SKPE",0.511885926751544
"5","PV8SKPE",0.510648290731667
"6","PV9SKPE",0.509019110557436
"7","PV6SKPE",0.508253595701407
"8","PV2SKPE",0.508137136068359
"9","PV4SKPE",0.507208735471677
"10","PV5SKPE",0.506992156895336
"11","PV5SSLI",0.497608607080682
"12","PV2SSLI",0.496444779222527
"13","PV1SSLI",0.495395253034422
"14","PV6SSLI",0.494954588229708
"15","PV3SSLI",0.494876551382142
"16","PV9SSLI",0.49487576731406
"17","PV4SSLI",0.494115969237508
"18","PV8SSLI",0.493729602359999
"19","PV10SSLI",0.491905540572651
"20","PV7SCID",0.490882708052035
"21","PV7SSLI",0.489955221160024
"22","PV1SCID",0.489776214269689
"23","PV3SCID",0.489476749460042
"24","PV5SCID",0.488986205961493
"25","PV8SCID",0.487667849637333
"26","PV4SCID",0.487523904451389
"27","PV10SCID",0.483758745860188
"28","PV6SCID",0.483711537036161
"29","PV9SCID",0.483472814916864
"30","PV2SCID",0.481165108492588
"31","PV1SCED",0.479204836122289
"32","PV8SCED",0.476620963737639
"33","PV3SCED",0.476516249702055
"34","PV6SCED",0.476506610423839
"35","PV4SCED",0.47519873965869
"36","PV9SCED",0.472345482005235
"37","PV5SCED",0.471902289570012
"38","PV7SCED",0.471569050713508
"39","PV2SCED",0.469792277683663
"40","PV3SCEP",0.46698875596611
"41","PV1SCEP",0.466753035835705
"42","PV10SCED",0.466178157698336
"43","PV8SCEP",0.465896923120608
"44","PV5SSES",0.46568201191816
"45","PV1SKCO",0.464660038628444
"46","PV7SCEP",0.464505937913248
"47","PV5SCEP",0.46423350069625
"48","PV6SCEP",0.464070471589062
"49","PV4SCEP",0.46394558090876
"50","PV1SSPH",0.46371235230507
"51","PV2SSES",0.463651824212924
"52","PV2SCEP",0.463591917819565
"53","PV9SCEP",0.463145833489327
"54","PV6SSES",0.462703225021734
"55","PV10SSPH",0.462580584002488
"56","PV10SCEP",0.462398508570592
"57","PV3SSES",0.461784253387507
"58","PV10SSES",0.461509699703185
"59","PV8SSPH",0.461275771290167
"60","PV8SKCO",0.460602280586638
"61","PV8SSES",0.460385308343327
"62","PV5SSPH",0.460026233330958
"63","PV4SKCO",0.459661288489602
"64","PV3SSPH",0.459394936197143
"65","PV9SSES",0.459185839316534
"66","PV6SKCO",0.459027139699331
"67","PV7SSES",0.458829493681423
"68","PV3SKCO",0.458647898226664
"69","PV2SKCO",0.45853913489397
"70","PV9SKCO",0.458481303965234
"71","PV1SSES",0.458225055130704
"72","PV10SKCO",0.457839006287984
"73","PV5SKCO",0.457326041364885
"74","PV9SSPH",0.456863887942618
"75","PV7SKCO",0.45625782398216
"76","PV2SSPH",0.456005424371534
"77","PV6SSPH",0.455046800116233
"78","PV7SSPH",0.454915951671125
"79","PV4SSPH",0.454176252245424
"80","PV4SSES",0.453908993702039
"81","ST013Q01TA",0.161808240472528
"82","ESCS",0.149085388298485
"83","EPIST",0.135214459369112
"84","SCIEEFF",0.134053838810887
"85","ST092Q01TA",0.13054395525505
"86","hisei",0.128613334679587
"87","ST131Q03NA",0.12617858946758
"88","BFMJ2",0.121933060504792
"89","EC024Q04NA",0.119687383502863
"90","JOYSCIE",0.118389108187331
"91","PA042Q01TA",0.117828583052532
"92","FISCED",0.117109206288714
"93","ST094Q04NA",0.114544432214396
"94","HISCED",0.112630752184585
"95","HOMEPOS",0.111014782468792
"96","ST131Q11NA",0.109790255479623
"97","ST094Q02NA",0.109756866985984
"98","ST119Q05NA",0.109107562353991
"99","BMMJ1",0.107600304921955
"100","ST111Q01TA",0.106802899181694
"101","CULTPOSS",0.106214486208303
"102","MISCED",0.106200681549035
"103","ST094Q05NA",0.105715048968282
"104","EC007Q01NA",0.104383332784944
"105","ST076Q03NA",0.10391791950165
"106","ST012Q09NA",0.103537352294538
"107","ST131Q06NA",0.100827833254599
"108","ST103Q01NA",0.099276744449141
"109","ST131Q08NA",0.0978212472626752
"110","ST094Q03NA",0.0968011833218242
"111","ST094Q01NA",0.0962583777902239
"112","ST131Q04NA",0.095680628577242
"113","PARED",0.0954109939958478
"114","EC012Q01NA",0.0930672723799987
"115","ST012Q06NA",0.0929619427333749
"116","MOTIVAT",0.0924687434137425
"117","ST076Q11NA",0.0882588739400229
"118","ST092Q02TA",0.0868065526226933
"119","EC005Q07NA",0.0858446978492124
"120","LANGTEST_PAQ",0.0855232882557352
"121","GRADE",0.0842856665982786
"122","IC008Q03TA",0.0838196158763913
"123","EC022Q01NA",0.0821890701438306
"124","ST076Q07NA",0.0796800273529647
"125","INTBRSCI",0.078685360353021
"126","PA023Q01NA",0.0785241425393526
"127","ST119Q01NA",0.0781005652206628
"128","ST076Q02NA",0.0763839181267525
"129","ST092Q05TA",0.0758540444889553
"130","PQGENSCI",0.0750917236428942
"131","ICTRES",0.0745508728875155
"132","BSMJ",0.074203154195051
"133","EC023Q06NA",0.0741160883578801
"134","ST119Q02NA",0.0727889265290337
"135","SCIEACT",0.072275836380848
"136","EC017Q01NA",0.0715306256771763
"137","EC015Q04NA",0.0714648756375351
"138","EC030Q05NA",0.0705672799914091
"139","IC013Q04NA",0.0704072404190638
"140","EC023Q10NA",0.0701254093197637
"141","EC029Q01NA",0.0683750530178756
"142","PA035Q05TA",0.0679614472109858
"143","ST076Q06NA",0.0670089615977461
"144","ST095Q08NA",0.0668700891192107
"145","ST076Q09NA",0.0662345155453166
"146","EC027Q02NA",0.0659962617359295
"147","EC005Q04NA",0.0655339281006239
"148","PA004Q01NA",0.0645189910478836
"149","EC018Q02NA",0.0644341660111392
"150","COMSCSTRLE",0.0643735349999999
"151","ST078Q07NA",0.0641490820430224
"152","IC011Q02TA",0.0641081476824275
"153","ENVAWARE",0.0636231384985254
"154","SMINS",0.0634877448243669
"155","ST059Q03TA",0.0624518035856352
"156","AUTICT",0.0621015974924012
"157","EC008Q01NA",0.0620290483654243
"158","ST076Q05NA",0.0619556064899413
"159","PA003Q07NA",0.0619103573672409
"160","EMOSUPP",0.0606250809118998
"161","EC012Q09NA",0.0592173031788642
"162","IC015Q02NA",0.0589612197415831
"163","IC010Q09NA",0.0584663293396834
"164","IC015Q07NA",0.058212586323112
"165","PA008Q04TA",0.0570291187318578
"166","EC026Q01NA",0.0565716382939327
"167","INSTSCIE",0.0565254967611052
"168","PA008Q02TA",0.0561246492981401
"169","PA020Q04NA",0.0560742137037299
"170","ST092Q04TA",0.0553403916644243
"171","EC023Q01NA",0.0550087506253569
"172","ST095Q07NA",0.0544681298466783
"173","EC022Q05NA",0.0543892475271145
"174","PA004Q02NA",0.0541644641971054
"175","PRESUPP",0.0537059174077661
"176","EC022Q09NA",0.0535916591427785
"177","PA019Q01NA",0.0534998385210056
"178","PA011Q02NA",0.052943723825718
"179","ADINST",0.052783866075688
"180","EC010Q06NA",0.0522928644056284
"181","EC013Q06NA",0.0521914349642202
"182","ST095Q04NA",0.0519746302710038
"183","IC015Q05NA",0.051569536392221
"184","ST076Q10NA",0.0512614733041962
"185","ST107Q01NA",0.0511175099991604
"186","ST107Q02NA",0.0503118670483996
"187","EC015Q07NA",0.0493945549378162
"188","PA035Q08NA",0.0491993662978811
"189","HEDRES",0.0491940518121137
"190","PA007Q13NA",0.0488083855900122
"191","EC030Q04NA",0.0485294374593796
"192","PA004Q03NA",0.0484761073027322
"193","COMMASTRLE",0.0483606914883311
"194","PA035Q07NA",0.0483548431191047
"195","ST123Q02NA",0.0477538387233767
"196","SENWT",0.0475935810930271
"197","PA003Q03TA",0.0474874448478705
"198","ST095Q13NA",0.0474162552008771
"199","IC014Q06NA",0.0470346641935097
"200","PA036Q05TA",0.0466832182252471
"201","ST078Q11NA",0.0464832036536172
"202","EC030Q01NA",0.0464646387235861
"203","PA002Q08NA",0.0461587907242575
"204","PA023Q02NA",0.0457409469000936
"205","EC013Q01NA",0.0456950946669695
"206","ST064Q03NA",0.0456281675044334
"207","ST119Q04NA",0.0455831334002566
"208","ISCEDL",0.0453726574154275
"209","DISCLISCI",0.0450710220530485
"210","EC022Q02NA",0.0450596954850167
"211","EC027Q03NA",0.0449820507695217
"212","PA008Q09NA",0.0449161116777631
"213","PA009Q10NA",0.0445349414676572
"214","IC008Q10TA",0.0445149921917844
"215","TDTEACH",0.0443460889202074
"216","EC030Q07NA",0.0442432147184431
"217","ST064Q01NA",0.0440956070743738
"218","IC010Q07TA",0.0438079072325071
"219","EC010Q10NA",0.0435327067900916
"220","ST012Q08NA",0.0434195805507914
