"","variable","value"
"1","PV3SCEP",0.673026744503404
"2","PV7SKPE",0.671150237895176
"3","PV4SCEP",0.670607383612937
"4","PV5SKPE",0.670599552823208
"5","PV6SKPE",0.67058142623186
"6","PV7SCEP",0.670346963621525
"7","PV9SCEP",0.669585027198603
"8","PV6SCEP",0.669221144321086
"9","PV5SCEP",0.669150070570657
"10","PV10SCEP",0.669130744087911
"11","PV10SKPE",0.667735572993659
"12","PV3SKPE",0.667261729883091
"13","PV9SKPE",0.667239085400959
"14","PV1SCEP",0.667118970191502
"15","PV1SKPE",0.666751102014903
"16","PV2SCEP",0.666524334712113
"17","PV8SCEP",0.666117075897561
"18","PV8SKPE",0.665963260201405
"19","PV4SKPE",0.665936831511674
"20","PV2SKPE",0.665197117885505
"21","PV4SKCO",0.663227262843812
"22","PV1SKCO",0.661862923488118
"23","PV1SSLI",0.661770487425308
"24","PV8SKCO",0.661509908830582
"25","PV6SKCO",0.661487996584573
"26","PV5SSLI",0.660993766124072
"27","PV2SKCO",0.660586979622793
"28","PV9SSLI",0.660171599621671
"29","PV9SKCO",0.660091259390508
"30","PV10SKCO",0.659605931199605
"31","PV5SKCO",0.659559666009521
"32","PV4SSLI",0.659287690391615
"33","PV3SKCO",0.658913423284196
"34","PV3SSLI",0.658615650629342
"35","PV6SSLI",0.658146513001658
"36","PV10SSLI",0.657920569523356
"37","PV8SSLI",0.657389980720524
"38","PV7SSLI",0.65687443157323
"39","PV7SKCO",0.656678534633397
"40","PV2SSLI",0.656572103314484
"41","PV3SCID",0.643010125349473
"42","PV5SCID",0.642293118864751
"43","PV7SCID",0.641551431789934
"44","PV10SCID",0.641443223786142
"45","PV4SCID",0.641005144567214
"46","PV1SCID",0.640557500274868
"47","PV6SCID",0.639510203011585
"48","PV2SCID",0.63849512238956
"49","PV1SSPH",0.637729380241623
"50","PV9SCID",0.637151494703209
"51","PV8SCID",0.636247227171859
"52","PV6SSPH",0.635305426782305
"53","PV5SSPH",0.634560357671367
"54","PV10SSPH",0.634178821483842
"55","PV8SSPH",0.633417594363044
"56","PV7SSPH",0.632613336749
"57","PV4SSPH",0.631825858840249
"58","PV3SSPH",0.631359888238878
"59","PV9SSPH",0.630929803449963
"60","PV2SSPH",0.62938178403868
"61","PV8SSES",0.627751168689316
"62","PV9SSES",0.62391447800046
"63","PV4SSES",0.623377310781009
"64","PV6SSES",0.622767152614258
"65","PV3SSES",0.622707488607236
"66","PV10SSES",0.622475417730155
"67","PV7SSES",0.62216291967477
"68","PV2SSES",0.622123007270134
"69","PV1SSES",0.621793474848907
"70","PV5SSES",0.621670160063431
"71","PV3SCED",0.596962901337566
"72","PV1SCED",0.596590635893201
"73","PV6SCED",0.596297686914561
"74","PV2SCED",0.59628085190053
"75","PV4SCED",0.596199067483947
"76","PV7SCED",0.59520989071902
"77","PV8SCED",0.594016851018814
"78","PV5SCED",0.59046476357963
"79","PV9SCED",0.589547620887606
"80","PV10SCED",0.588022400393009
"81","JOYSCIE",0.177851256937996
"82","ST094Q02NA",0.167648365413135
