"","variable","value"
"1","PA026Q01NA",0.308851387604497
"2","PA022Q01NA",0.261196971805578
"3","PA006Q05TA",0.218480145357192
"4","PA018Q03NA",0.193799682881925
"5","PA014Q01NA",0.190181973498272
"6","EC003Q03NA",0.178916127951897
"7","EC005Q05NA",0.173511373773008
"8","PA006Q08TA",0.164696944037196
"9","PA039Q04TA",0.157915380696382
"10","Option_TQ",0.154190906931347
"11","PA039Q03TA",0.153019441332504
"12","PA039Q06TA",0.152419216337866
"13","PA039Q05TA",0.15158513899767
"14","PA006Q10TA",0.147857833055756
"15","PA006Q07TA",0.142882672342967
"16","IC010Q08TA",0.142039591621116
"17","Region",0.140435475198993
"18","PA006Q11TA",0.135889979817895
"19","PA006Q09TA",0.135253270350889
"20","EC015Q05NA",0.129015923092114
"21","PA006Q01TA",0.124585520387495
"22","PA039Q01TA",0.124466812376863
"23","EC029Q01NA",0.120941467097592
"24","CNTRYID",0.120828018308252
"25","CNTSCHID",0.120802223864591
"26","CNTSTUID",0.120785012071552
"27","EC018Q03NA",0.114301145952689
"28","EC003Q04NA",0.106052411327788
"29","PA039Q02TA",0.102379193632057
"30","SENWT",0.101583596405357
"31","PQENPERC",0.0998553224180625
"32","PA003Q06NA",0.0975246422431246
"33","ST063Q03NB",0.0949702698900902
"34","PA003Q04NA",0.0943068150219847
"35","PRESUPP",0.0942719043249867
"36","ADDSCIIN",0.0939419246121071
"37","PA007Q07TA",0.092800169022477
"38","ST119Q01NA",0.0923457820532943
"39","EC024Q05NA",0.0906180260673106
"40","IC014Q03NA",0.0842303034732442
"41","ST092Q02TA",0.0826400804305141
"42","PA007Q06TA",0.0811338167293969
"43","EC005Q03NA",0.0784701123541028
"44","EC019Q07NA",0.0773295344031364
"45","PASCHPOL",0.074421060487801
"46","EC027Q03NA",0.073165183975473
"47","COMMASUP",0.0726919134690239
"48","IC009Q03TA",0.072328874382261
"49","IC010Q09NA",0.0717925393028983
"50","PA007Q05TA",0.0710439267965135
"51","EC023Q07NA",0.0708107600220857
"52","PA027Q07NA",0.0706958060238501
"53","ST063Q01NB",0.0686877385451829
"54","HOMESCH",0.0670570288347925
"55","ST003D03T",0.0669123202079727
"56","IC005Q01TA",0.0667184409306642
"57","EC020Q04NA",0.0664923621110204
"58","PA032Q01TA",0.0659720915023692
"59","ST097Q02TA",0.0654037300201431
"60","EC023Q10NA",0.0652763251153772
"61","EC019Q14NA",0.0620203907781694
"62","EC010Q04NA",0.0619042455229103
"63","EC019Q13NA",0.0617637140768595
"64","PA028Q01NA",0.061403295123013
"65","EC015Q03NA",0.0604986067351939
