"","x"
"1",0.158832632489632
"2",0.146522076431517
"3",0.116606775331772
"4",0.0923518001345016
"5",0.0833329948549349
"6",0.0752791431351649
"7",0.0500267204518513
"8",0.0456400404085183
"9",0.0318718996587557
"10",0.0255216580722166
"11",0.022614612170484
"12",0.0174283494420039
"13",0.0159498757977694
"14",0.0150609348154432
"15",0.0140292526571038
"16",0.0129372246357344
"17",0.0124672232025201
"18",0.0113264542917804
"19",0.0108552923612002
"20",0.0104166243568669
"21",0.00636880954439454
"22",0.00602762331880197
"23",0.00570036306160094
"24",0.00443309993797142
"25",0.00421724742790265
"26",0.00205175934301923
"27",0.00114076891073976
"28",0.00098874375579886
