"","Pytanie","grupa rozwoju ","kraj ","ma nie ma "
"1","Auto","Wr",467.903,"nie ma "
"2","Auto","Wr",503.901,"ma "
"3","Auto","Sr",389.402,"nie ma "
"4","Auto","Sr",415.26,"ma "
"5","Łazienka","Wr",441.441,"nie ma "
"6","Łazienka","Wr",503.249,"ma "
"7","Łazienka","Sr",377.614,"nie ma "
"8","Łazienka","Sr",407.37,"ma "
"9","Połączenie z Internetem","Wr",459.961,"nie ma "
"10","Połączenie z Internetem","Wr",502.986,"ma "
"11","Połączenie z Internetem","Sr",362.251,"nie ma "
"12","Połączenie z Internetem","Sr",408.467,"ma "
"13","Komputer","Wr",440.973,"nie ma "
"14","Komputer","Wr",504.434,"ma "
"15","Komputer","Sr",371.016,"nie ma "
"16","Komputer","Sr",417.705,"ma "
"17","Tablet","Wr",498.602,"nie ma "
"18","Tablet","Wr",503.663,"ma "
"19","Tablet","Sr",392.488,"nie ma "
"20","Tablet","Sr",413.572,"ma "
"21","Instrument muzyczny","Wr",478.202,"nie ma "
"22","Instrument muzyczny","Wr",511.907,"ma "
"23","Instrument muzyczny","Sr",387.599,"nie ma "
"24","Instrument muzyczny","Sr",416.919,"ma "
"25","Biurko do nauki","Wr",467.348,"nie ma "
"26","Biurko do nauki","Wr",506.48,"ma "
"27","Biurko do nauki","Sr",383.679,"nie ma "
"28","Biurko do nauki","Sr",407.942,"ma "
"29","Słownik","Wr",466.085,"nie ma "
"30","Słownik","Wr",506.037,"ma "
"31","Słownik","Sr",366.438,"nie ma "
"32","Słownik","Sr",404.497,"ma "
"33","Połączenie z Internetem","Wr",433.772,"nie ma "
"34","Połączenie z Internetem","Wr",504.636,"ma "
"35","Połączenie z Internetem","Sr",377.623,"nie ma "
"36","Połączenie z Internetem","Sr",414.919,"ma "
"37","Ciche miejsce do nauki","Wr",476.384,"nie ma "
"38","Ciche miejsce do nauki","Wr",505.087,"ma "
"39","Ciche miejsce do nauki","Sr",391.891,"nie ma "
"40","Ciche miejsce do nauki","Sr",405.65,"ma "
"41","Własny pokój","Wr",474.251,"nie ma "
"42","Własny pokój","Wr",504.511,"ma "
"43","Własny pokój","Sr",395.585,"nie ma "
"44","Własny pokój","Sr",404.883,"ma "
"45","Oprogramowanie edukacyjne","Wr",496.417,"nie ma "
"46","Oprogramowanie edukacyjne","Wr",504.292,"ma "
"47","Oprogramowanie edukacyjne","Sr",399.356,"nie ma "
"48","Oprogramowanie edukacyjne","Sr",410.104,"ma "
"49","Dzieło sztuki","Wr",486.975,"nie ma "
"50","Dzieło sztuki","Wr",508.84,"ma "
"51","Dzieło sztuki","Sr",396.529,"nie ma "
"52","Dzieło sztuki","Sr",407.946,"ma "
