Rank,CNT
1,Norway
2,Australia
3,Iceland
4,Canada
5,Denmark
6,Switzerland
7,Netherlands
8,Sweden
9,Finland
10,United States
11,Luxembourg
12,New Zealand
13,Belgium
14,United Kingdom
15,Germany
16,Ireland
17,Austria
18,France
19,Spain
20,Slovenia
21,Estonia
22,Czech Republic
23,Israel
24,Italy
25,Japan
26,Slovak Republic
27,Poland
28,Lithuania
29,Portugal
30,South Korea
31,Hungary
32,Latvia
33,Russia
34,Chile
35,Brazil
36,Greece
37,Turkey
38,Colombia
39,Mexico
40,South Africa
